time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,1931.375,2168.75,2369.0,2251.75,2453.375,1944.375,500.625,2585.875,1791.25,1684.375,36.16,49.14
0.1,1931.375,2169.0,2369.0,2251.875,2453.375,1944.25,500.625,2585.875,1791.375,1684.5,36.15,49.09
0.2,1931.25,2169.125,2369.0,2251.875,2453.5,1944.25,500.5,2585.875,1791.625,1684.75,36.16,49.09
0.3,1931.375,2169.25,2369.125,2252.0,2453.5,1944.375,500.375,2586.0,1791.75,1684.75,36.18,49.11
0.4,1931.25,2169.375,2369.125,2252.125,2453.5,1944.375,500.375,2586.125,1792.0,1685.0,36.18,49.07
0.5,1931.25,2169.5,2369.125,2252.125,2453.5,1944.375,500.375,2586.125,1792.25,1685.25,36.18,49.16
0.6,1931.25,2169.625,2369.25,2252.25,2453.5,1944.375,500.25,2586.125,1792.375,1685.375,36.16,49.09
0.7,1931.25,2169.75,2369.25,2252.25,2453.5,1944.375,500.375,2586.125,1792.5,1685.5,36.18,49.11
0.8,1931.25,2170.0,2369.125,2252.375,2453.5,1944.375,500.25,2586.25,1792.75,1685.625,36.19,49.09
0.9,1931.25,2170.25,2369.125,2252.5,2453.625,1944.375,500.25,2586.25,1793.0,1685.875,36.2,49.1
1.0,1931.125,2170.375,2369.125,2252.5,2453.625,1944.25,500.25,2586.375,1793.125,1686.0,36.18,49.09
1.1,1931.125,2170.5,2369.125,2252.625,2453.75,1944.25,500.25,2586.375,1793.375,1686.125,36.19,49.09
1.2,1931.125,2170.625,2369.125,2252.625,2453.625,1944.375,500.25,2586.375,1793.625,1686.25,36.18,49.02
1.3,1931.125,2170.875,2369.125,2252.625,2453.625,1944.375,500.125,2586.375,1793.875,1686.375,36.18,49.1
1.4,1931.125,2171.0,2369.125,2252.75,2453.625,1944.375,500.125,2586.5,1794.0,1686.5,36.19,49.1
1.5,1931.125,2171.125,2369.125,2252.75,2453.625,1944.375,500.125,2586.5,1794.25,1686.75,36.19,49.07
1.6,1931.125,2171.375,2369.125,2252.875,2453.75,1944.25,500.0,2586.5,1794.375,1686.875,36.2,49.06
1.7,1931.0,2171.625,2369.125,2252.875,2453.75,1944.375,500.0,2586.625,1794.5,1687.0,36.19,49.07
1.8,1931.0,2171.75,2369.0,2253.0,2453.75,1944.375,500.0,2586.625,1794.625,1687.25,36.18,49.05
1.9,1931.0,2172.0,2369.0,2252.875,2453.75,1944.25,500.0,2586.75,1794.875,1687.25,36.19,49.05
2.0,1931.0,2172.125,2369.125,2253.125,2453.875,1944.25,499.875,2586.75,1795.125,1687.375,36.19,49.02
2.1,1931.125,2172.25,2369.125,2253.25,2453.75,1944.25,499.875,2586.75,1795.375,1687.625,36.18,49.02
